	TCGA-E9-A1RD-11A-33R-A156-13	TCGA-BH-A0HK-11A-11R-A090-13	TCGA-BH-A18U-11A-23R-A12C-13	TCGA-BH-A18P-11A-43R-A12C-13	TCGA-BH-A0DV-11A-22R-A12O-13	TCGA-BH-A18L-11A-42R-A12C-13	TCGA-E9-A1N6-11A-32R-A143-13	TCGA-BH-A0BS-11A-11R-A12O-13	TCGA-BH-A18Q-11A-34R-A12C-13	TCGA-E9-A1R7-11A-42R-A14L-13	TCGA-BH-A1FH-11B-42R-A13P-13	TCGA-E2-A1IG-11A-22R-A143-13	TCGA-BH-A18M-11A-33R-A12C-13	TCGA-BH-A0DQ-11A-12R-A090-13	TCGA-A7-A0CE-11A-21R-A090-13	TCGA-BH-A1FJ-11B-42R-A13P-13	TCGA-BH-A0B7-11A-34R-A114-13	TCGA-BH-A0BC-11A-22R-A090-13	TCGA-BH-A0B5-11A-23R-A12O-13	TCGA-BH-A1FM-11B-23R-A13P-13	TCGA-E9-A1NF-11A-73R-A14C-13	TCGA-A7-A0DB-11A-33R-A090-13	TCGA-BH-A0BQ-11A-33R-A114-13	TCGA-BH-A0BJ-11A-23R-A090-13	TCGA-BH-A0BV-11A-31R-A090-13	TCGA-BH-A1FN-11A-34R-A13P-13	TCGA-E2-A15K-11A-13R-A12O-13	TCGA-BH-A0DK-11A-13R-A090-13	TCGA-E2-A1L7-11A-33R-A143-13	TCGA-BH-A18R-11A-42R-A12C-13	TCGA-BH-A0BZ-11A-61R-A12O-13	TCGA-BH-A1FC-11A-32R-A13P-13	TCGA-E2-A158-11A-22R-A12C-13	TCGA-BH-A0H7-11A-13R-A090-13	TCGA-BH-A0DG-11A-43R-A12O-13	TCGA-BH-A1FE-11B-14R-A13P-13	TCGA-E9-A1RH-11A-34R-A168-13	TCGA-BH-A0C3-11A-23R-A12O-13	TCGA-AC-A2FM-11B-32R-A19V-13	TCGA-GI-A2C9-11A-22R-A21U-13	TCGA-BH-A204-11A-53R-A156-13	TCGA-BH-A203-11A-42R-A168-13	TCGA-GI-A2C8-11A-22R-A16E-13	TCGA-BH-A0DP-11A-12R-A090-13	TCGA-BH-A1FB-11A-33R-A13P-13	TCGA-BH-A1EO-11A-31R-A136-13	TCGA-E9-A1RI-11A-41R-A168-13	TCGA-BH-A0DT-11A-12R-A12C-13	TCGA-A7-A13G-11A-51R-A13P-13	TCGA-BH-A209-11A-42R-A156-13	TCGA-BH-A1EV-11A-24R-A136-13	TCGA-E9-A1NA-11A-33R-A143-13	TCGA-A7-A13E-11A-61R-A12O-13	TCGA-E9-A1RC-11A-33R-A156-13	TCGA-A7-A13F-11A-42R-A12O-13	TCGA-BH-A1F2-11A-32R-A13P-13	TCGA-BH-A0C0-11A-21R-A090-13	TCGA-BH-A1F0-11B-23R-A136-13	TCGA-BH-A0BT-11A-21R-A12O-13	TCGA-E9-A1N5-11A-41R-A14C-13	TCGA-E9-A1N4-11A-33R-A14L-13	TCGA-AC-A23H-11A-12R-A156-13	TCGA-BH-A1EU-11A-23R-A136-13	TCGA-BH-A18J-11A-31R-A12C-13	TCGA-BH-A208-11A-51R-A156-13	TCGA-BH-A1F6-11B-94R-A13P-13	TCGA-E2-A1LS-11A-32R-A156-13	TCGA-E9-A1NG-11A-52R-A14L-13	TCGA-BH-A0HA-11A-31R-A12O-13	TCGA-E2-A1BC-11A-32R-A12O-13	TCGA-E2-A1LB-11A-22R-A143-13	TCGA-E2-A153-11A-31R-A12C-13	TCGA-BH-A0E1-11A-13R-A090-13	TCGA-E9-A1RB-11A-33R-A156-13	TCGA-BH-A0B3-11B-21R-A090-13	TCGA-BH-A1EN-11A-23R-A13P-13	TCGA-E2-A1LH-11A-22R-A14C-13	TCGA-BH-A1FR-11B-42R-A13P-13	TCGA-BH-A0DD-11A-23R-A12O-13	TCGA-BH-A1F8-11B-21R-A13P-13	TCGA-BH-A0BW-11A-12R-A114-13	TCGA-A7-A0DC-11A-41R-A090-13	TCGA-BH-A1EW-11B-33R-A136-13	TCGA-BH-A18N-11A-43R-A12C-13	TCGA-BH-A0AY-11A-23R-A090-13	TCGA-E9-A1RF-11A-32R-A156-13	TCGA-BH-A18K-11A-13R-A12C-13	TCGA-BH-A1FU-11A-23R-A14C-13	TCGA-BH-A1FG-11B-12R-A13P-13	TCGA-BH-A0AU-11A-11R-A12O-13	TCGA-BH-A0DO-11A-22R-A12C-13	TCGA-BH-A0AZ-11A-22R-A12O-13	TCGA-BH-A1ET-11B-23R-A136-13	TCGA-E9-A1ND-11A-43R-A143-13	TCGA-AC-A2FB-11A-13R-A17A-13	TCGA-BH-A0DZ-11A-22R-A090-13	TCGA-BH-A0DL-11A-13R-A114-13	TCGA-E9-A1N9-11A-71R-A14C-13	TCGA-E2-A15M-11A-22R-A12C-13	TCGA-E2-A15I-11A-32R-A136-13	TCGA-BH-A18S-11A-43R-A12C-13	TCGA-A7-A0D9-11A-53R-A090-13	TCGA-BH-A0H5-11A-62R-A114-13
hsa-let-7a-5p	20681.938669	26241.464915	55732.567177	30814.188321	77621.236404	38876.296528	54570.871678	69883.414205	43694.341296	17737.528244	44772.899022	27039.394712	40852.27035	32673.221604	28363.357614	26839.129294	53976.388945	45380.824626	36874.805784	30346.418078	28499.311451	24971.735995	34075.216144	25203.967104	30125.815394	34536.616168	46617.071136	25842.161047	26848.169522	42774.191206	59193.308785	32667.590735	28001.19711	33580.992506	60950.731706	28812.519803	31178.157116	74507.471066	39027.820675	59231.052971	16490.942423	38069.575427	16657.850165	29467.186554	34245.863313	52308.659185	34974.388344	49772.251876	16150.607726	20890.356407	69339.468378	35949.694773	40962.423188	23428.42475	53887.870976	26484.181642	33168.369121	39414.822014	75542.717038	37068.049388	30775.642396	27533.673561	57937.679213	35655.250612	41381.26397	33106.417993	23335.157191	20981.065095	95882.340547	49237.504237	31915.387279	36894.231078	36372.495345	30537.033012	26148.132014	22839.303775	45651.537858	20890.041846	46630.518467	19491.763033	34974.271019	24425.762553	68632.648873	33962.955381	27341.392529	23789.544074	40309.758235	38671.147536	26313.245206	67300.753721	59884.351813	72982.2341	50462.666577	42704.218768	57443.569341	31224.191645	48668.331487	28231.945676	36484.025999	57772.052943	37344.459135	20024.823655	56803.204359
hsa-let-7b-5p	22817.693537	65323.34272	44530.70709	31762.103181	49575.995238	34126.342221	40835.1491	67042.0434	28704.015104	19721.757214	33661.507242	23850.684933	33835.964863	60758.814709	37502.331504	39065.836655	57018.620693	67871.429795	17894.759551	43357.957891	29901.269796	34456.836668	53581.654337	47420.24698	52526.752577	32727.286078	33649.60664	42691.911726	34452.545576	27989.287844	35355.458365	21904.932531	20595.921839	65878.723103	39626.374017	32925.533788	23760.205924	37692.858413	122345.318159	42646.678482	11363.130829	24772.207172	7084.462115	61389.499469	32584.099167	22513.920049	30168.389717	29968.296172	13596.899382	18688.111328	40896.129336	46669.177098	30188.380896	14117.314642	28167.720543	20464.059949	59749.001315	23329.937897	55313.546721	25918.40741	36260.553645	28503.579297	43292.980549	44664.690374	31963.383197	20673.790695	17900.440283	17383.143349	59430.771372	24960.587425	40784.872196	28213.942181	69094.960988	29062.457644	42168.501457	25508.73228	45718.892027	19368.402435	42494.692747	24646.41961	36848.376434	48107.706047	38061.511504	27987.030657	48491.499709	18569.620437	43015.427585	31382.613915	27104.756755	51189.705383	38190.612457	44608.604379	33894.608047	49081.180431	37514.57861	59460.454579	34116.131024	25251.765161	35428.216552	26368.317444	29805.432429	41622.626471	38314.543058
hsa-let-7c-5p	4945.740935	8326.475477	1470.875027	7245.487594	8926.37923	8818.789975	10972.793153	12070.790488	10368.9562	4797.498999	9696.28652	7401.008501	9575.710562	11308.335523	9443.093941	10087.416616	11241.112678	15259.746296	5126.462866	8851.903701	6278.199999	5852.691852	8832.991707	8890.91831	8758.645939	11259.114573	7187.986934	6722.814362	7375.493868	7847.746337	8838.073816	6739.495689	4542.517238	12384.688021	9332.522029	6583.287359	8155.380978	8425.453399	15494.834845	13524.779438	3569.649088	7422.698893	1758.759066	4913.654776	6643.498213	7562.492038	7470.492369	9899.650564	3000.074787	5174.909386	11802.891345	9889.149824	6706.549924	3972.25203	8341.943452	6316.971873	11220.201019	6890.7688	9582.377434	7980.715553	6777.109759	6490.690409	9521.240079	8418.600839	8230.031439	7071.60708	4557.401721	4263.150221	12405.59566	4343.763557	7686.531903	8411.282316	11244.708977	2861.973312	8707.564106	6425.906824	9336.917545	5788.729747	10110.721933	6112.625534	5933.630912	6294.356259	8255.419359	7009.942177	10223.04071	4227.746637	8304.227628	8333.769655	5612.509957	12929.851656	9956.07735	10764.227956	9827.255078	10344.71728	10842.500017	13173.095575	9147.408014	6077.887794	6845.74848	7550.309275	6690.697156	5854.780079	9781.619335
hsa-let-7d-5p	52.049546	90.317184	203.944856	132.151653	169.979638	133.524064	113.115703	225.031568	160.259272	183.07779	83.674873	115.817849	130.635976	121.484239	85.830004	121.935105	160.425616	160.205734	250.761894	92.63156	187.980081	299.834933	104.658318	124.414967	183.305348	85.179501	177.916975	97.944684	178.701394	82.831726	179.505455	91.848243	183.759406	139.740651	158.756907	155.529208	174.613397	187.754912	97.753893	190.635823	167.494129	118.10961	137.056571	128.142856	141.064407	241.524284	204.24059	169.426362	127.330405	156.400093	109.187006	107.139679	202.499621	255.826429	282.411933	90.638254	153.984662	145.271669	127.225643	330.107925	116.19371	100.255952	115.337501	132.056484	214.433406	93.032888	103.446697	143.329239	260.109942	268.652332	205.400196	120.988607	178.185105	389.231591	112.819504	137.200463	131.276269	145.983613	229.3978	160.787455	142.55636	115.690662	119.766528	74.184863	117.337626	180.915879	212.875577	92.435839	94.061159	242.132054	157.130682	326.019688	117.02186	120.45043	162.074488	159.155601	130.691377	76.046718	132.826827	295.165105	119.569568	187.780429	155.60897
hsa-let-7e-5p	490.161946	684.10461	1290.964076	745.216085	1424.891037	1096.283618	1087.563333	1202.251983	854.370923	724.714565	896.742047	614.861732	997.385408	699.777632	763.758936	656.917392	829.451178	1090.23903	1505.91953	582.141435	1052.544978	1196.115687	912.994904	716.68206	923.040132	691.716293	1634.435688	751.453391	492.421617	705.74869	1875.318037	623.729885	930.615577	815.269088	1203.951691	434.30798	1066.70076	1403.728189	1568.275828	2149.285438	605.025271	723.596433	476.625576	696.280645	664.400654	2283.4161	924.823147	811.446768	815.577288	544.425329	1660.189649	636.535731	1718.434276	948.675214	1904.788146	552.141338	650.280533	736.240762	1651.295034	1002.387526	373.064322	780.866788	1313.581953	818.522516	836.677032	747.585713	586.197951	731.713656	1276.736828	1602.943183	656.519896	846.491203	648.225121	356.954829	530.362272	643.786789	510.518833	543.442644	1982.930139	458.04157	779.84102	1040.562323	1743.625426	859.981873	823.088938	991.998227	1120.54374	574.330372	490.399355	1574.755134	890.561252	1975.952021	1335.42596	1585.601553	1028.393993	730.452959	1033.672423	527.540877	1160.407424	1848.128043	819.027915	775.039552	861.356363
hsa-let-7f-5p	3882.344587	2742.663774	10537.150921	3809.544629	17174.23892	6310.288765	7223.354222	12195.113483	6816.326564	2355.195725	8151.722018	3653.75209	6727.596861	3092.875056	4128.038897	2996.028489	9472.917935	8630.108953	11919.953034	4041.451027	3618.736203	3288.512135	3349.066117	3086.614415	3146.431662	5323.718818	12242.382226	3434.593627	3268.971954	7788.420908	15010.847419	7639.119527	5422.427419	3443.015906	15260.168973	3793.73892	4554.915137	22906.099027	1923.055048	8652.573748	2854.962988	7575.821235	11258.943413	2147.054323	5770.169733	20901.018355	5874.636158	11273.679742	2071.840854	3576.164668	16179.076639	4803.166293	9754.044207	4561.659462	13682.054671	4037.558275	3515.059851	10442.018696	15452.052641	5753.857929	4638.009252	4353.544147	14070.024529	4328.265098	7303.627563	7422.141714	4938.489843	3774.022714	20825.510186	17831.621556	4595.639271	7308.226623	3891.194033	5704.037596	2565.537627	3532.032434	6538.931134	3503.073917	8073.91386	2340.200585	7423.145028	1967.394847	16648.424172	5700.632081	2755.708668	4503.947263	4434.32997	5427.535146	4088.893911	11593.043578	11596.70654	15202.992196	12307.086017	5249.466662	10510.055091	3698.190289	10304.360204	5073.326583	6210.347286	12715.346369	5728.941935	2235.554008	12099.373979
hsa-miR-15a-5p	67.561	63.894602	227.292079	66.075828	44.068795	71.139869	91.651262	50.007015	58.770363	112.176293	64.203362	64.107128	80.439336	38.718661	54.316302	40.219432	55.817186	44.401589	149.648228	40.725945	108.817986	174.097703	91.044225	41.903654	64.668638	57.275871	84.016349	50.604753	88.087152	58.206077	84.217318	66.00501	146.397535	61.914793	46.055758	63.972391	78.576029	95.226822	29.916063	122.798363	109.438394	44.816295	123.698231	65.77244	68.371758	132.775129	138.678152	74.473125	93.722751	111.456317	32.830717	65.386715	110.62479	212.436599	112.505567	61.744838	58.713576	63.494588	51.300662	121.185799	62.357743	75.191965	29.625342	58.059316	70.990778	89.710285	148.233966	103.777148	51.060314	173.750541	71.509697	76.368695	63.286434	567.709	59.727973	87.949014	57.057987	124.13935	99.424228	54.721782	77.273542	54.904043	29.211347	60.121381	36.668008	157.675696	63.793331	48.480335	48.63224	37.06713	67.011614	109.396339	33.127512	100.901916	64.445348	46.321407	69.17502	69.665176	112.159275	75.376291	84.596651	127.222513	64.389919
hsa-miR-16-5p	298.854016	490.499164	677.756137	155.004946	290.993947	232.025423	241.522443	359.425419	198.835417	569.744155	206.819026	229.510599	186.44466	425.194836	296.689987	135.341581	354.029283	639.022874	1176.288988	241.960023	768.900722	4083.2359	254.413305	456.62021	496.878458	140.986759	672.836809	385.793231	475.815024	147.194217	801.84376	186.141114	622.570765	450.352294	337.019775	275.550805	492.347417	646.154477	93.119011	363.841186	392.599124	192.803436	674.329015	478.929201	205.369444	964.832612	1548.421633	217.523592	314.302563	483.96904	177.335619	510.09516	806.873482	1685.434505	996.018675	164.652898	683.145364	397.273542	224.843477	834.591797	320.851547	222.575275	188.394172	204.915235	358.477649	190.495914	812.314195	391.942375	415.580583	1381.977816	703.685863	134.288774	1215.959733	4639.306699	532.574421	389.086441	277.5678	321.270508	959.804844	418.858075	301.100353	564.073676	174.683864	127.274503	336.482897	1055.461806	239.918403	134.128926	209.671933	315.070599	254.181986	676.521845	215.974165	231.620252	255.454484	338.502587	213.207293	160.070366	546.429907	602.658111	260.87906	3416.687824	263.772738
hsa-miR-17-5p	110.648372	100.405805	275.35989	174.877376	195.861311	185.328479	331.654104	218.780691	226.278845	229.923421	128.932981	198.696675	130.012414	120.063369	89.929349	155.132095	234.197981	123.004402	251.435985	168.493612	214.048568	343.896694	548.818001	161.566661	154.925587	183.57651	157.442402	98.488821	262.095377	166.782798	205.99635	138.296212	361.800156	131.78512	185.848526	200.133813	135.949002	263.705047	158.007372	310.450596	150.58901	134.915722	109.004056	189.757267	185.798347	219.395095	279.169089	204.490792	181.291991	226.950138	106.69983	183.555478	187.812146	552.092178	282.411935	125.072874	173.186584	120.071483	143.935004	883.943482	154.338794	239.16693	153.016336	244.759863	307.168333	143.979471	259.805786	200.397254	239.96058	336.169525	578.163522	170.756969	165.896477	1491.870078	123.327205	169.565699	166.883885	196.598371	289.941047	187.810556	213.612491	147.064402	98.734356	149.776073	100.082093	376.133408	226.050286	120.877636	159.001215	159.029943	275.440843	267.137805	101.103447	279.602964	142.447491	167.469701	135.879503	123.376493	205.667344	206.404236	208.89229	309.914041	181.026044
hsa-miR-17-3p	86.519444	134.995363	122.91626	108.304739	102.127684	118.566448	255.008952	106.264908	128.414539	72.167593	71.570962	106.609091	118.476541	131.785533	72.25093	51.710698	164.719246	87.603135	68.083202	77.459148	65.529952	88.660868	331.843441	141.694825	135.850665	91.788256	86.840428	98.488823	113.358056	183.013339	64.447992	117.691474	117.804267	84.397819	113.24298	181.059477	92.295653	185.056174	192.97967	355.204476	54.496763	172.72947	100.989052	136.458912	177.410735	77.136028	78.554073	132.810408	93.249405	102.956313	108.192135	54.751527	84.99984	68.38237	80.36112	82.72225	115.211544	85.73005	141.589828	361.363992	111.053594	135.557345	130.293985	147.994336	175.75804	77.527407	107.608346	59.139792	176.306915	144.005204	272.345448	151.450276	129.337809	189.940189	109.501283	82.320278	78.508358	146.5164	48.878951	105.390095	198.068961	86.277781	82.668117	97.389606	69.022133	77.586455	105.397679	122.816848	128.71527	73.536402	178.38954	123.032145	62.813205	116.896154	135.365584	138.964221	131.432536	130.821628	100.565281	86.295289	114.843499	89.055759	140.923549
